"stations";"morn_cur";"day_cur";"min_cur";"max_cur";"night_cur"
"ALT";"272.37";"274.3";"268.63";"272.15";"272.16"
"ANT";"266.57";"268.37";"263.05";"268.77";"266.21"
"BAS";"272.06";"275.24";"271.95";"274.37";"273.8"
"BER";"271.2";"274.18";"268.94";"272.53";"271.25"
"CDF";"268.21";"269.87";"265.81";"269.71";"268.06"
"CHD";"268.03";"270.34";"265.79";"269.7";"268.89"
"CHM";"267.57";"269.8";"265.11";"267.68";"267.54"
"DAV";"261.04";"264.94";"258.84";"262.58";"262.98"
"ELM";"268.46";"271.07";"263.01";"270.55";"267.1"
"ENG";"268.71";"270.44";"266.22";"268.28";"268.57"
"GRC";"263.92";"269.28";"262.93";"270.54";"265.89"
"GRH";"263.64";"265.52";"260.89";"265.13";"263.28"
"GSB";"258.68";"264.32";"256.78";"264.39";"260.97"
"GVE";"273.84";"275.63";"268.91";"275.15";"274.33"
"JUN";"253.25";"255.81";"250.32";"253.85";"253.93"
"LUG";"277.38";"281.13";"270.82";"276.33";"275.15"
"LUZ";"271.2";"274.38";"269.47";"272.02";"271.87"
"MER";"271.69";"273.66";"268.63";"271.8";"271.17"
"NEU";"271.82";"274.03";"269.43";"272.01";"272.1"
"OTL";"277.94";"281.47";"269.73";"276.25";"274.88"
"PAY";"271.65";"273.8";"269.31";"271.89";"272.42"
"RAG";"271.11";"273.93";"265.96";"273.51";"269.5"
"SAE";"259.56";"261.86";"255.53";"261.31";"258.12"
"SAM";"259.89";"264.79";"258.1";"266.8";"264.48"
"SBE";"267.82";"269.47";"261.82";"267.33";"268.01"
"SIA";"260.29";"265.03";"262.21";"266.4";"264.33"
"SIO";"269.95";"273.78";"270.01";"276.33";"272.43"
"SMA";"269.92";"273.45";"269.18";"271.25";"271.99"
"STG";"269.78";"272.03";"265.9";"271.68";"270.01"
